UART command listener started.

Waiting for command:

Received '1' command. GPIO high, start read.

Addr 0x10100000 = 0x3D6E

Addr 0x10100002 = 0x5C56

Addr 0x10100004 = 0x7137

Addr 0x10100006 = 0x7D11

Addr 0x10100008 = 0x7CE9

Addr 0x1010000A = 0x6EC3

Addr 0x1010000C = 0x56A4

Addr 0x1010000E = 0x378F

Addr 0x10100010 = 0x1183

Addr 0x10100012 = 0xE984

Addr 0x10100014 = 0xC392

Addr 0x10100016 = 0xA4AA

Addr 0x10100018 = 0x8FC9

Addr 0x1010001A = 0x83EF

Addr 0x1010001C = 0x8417

Addr 0x1010001E = 0x923D

Addr 0x10100020 = 0xAA5C

Addr 0x10100022 = 0xC971

Addr 0x10100024 = 0xEF7D

Addr 0x10100026 = 0x177C

Addr 0x10100028 = 0x3D6E

Addr 0x1010002A = 0x5C56

Addr 0x1010002C = 0x7137

Addr 0x1010002E = 0x7D11

Addr 0x10100030 = 0x7CE9

Addr 0x10100032 = 0x6EC3

Addr 0x10100034 = 0x56A4

Addr 0x10100036 = 0x378F

Addr 0x10100038 = 0x1183

Addr 0x1010003A = 0xE984

Addr 0x1010003C = 0xC392

Addr 0x1010003E = 0xA4AA

Addr 0x10100040 = 0x8FC9

Addr 0x10100042 = 0x83EF

Addr 0x10100044 = 0x8417

Addr 0x10100046 = 0x923D

Addr 0x10100048 = 0xAA5C

Addr 0x1010004A = 0xC971

Addr 0x1010004C = 0xEF7D

Addr 0x1010004E = 0x177C

Addr 0x10100050 = 0x3D6E

Addr 0x10100052 = 0x5C56

Addr 0x10100054 = 0x7137

Addr 0x10100056 = 0x7D11

Addr 0x10100058 = 0x7CE9

Addr 0x1010005A = 0x6EC3

Addr 0x1010005C = 0x56A4

Addr 0x1010005E = 0x378F

Addr 0x10100060 = 0x1183

Addr 0x10100062 = 0xE984

Addr 0x10100064 = 0xC392

Addr 0x10100066 = 0xA4AA

Addr 0x10100068 = 0x8FC9

Addr 0x1010006A = 0x83EF

Addr 0x1010006C = 0x8417

Addr 0x1010006E = 0x923D

Addr 0x10100070 = 0xAA5C

Addr 0x10100072 = 0xC971

Addr 0x10100074 = 0xEF7D

Addr 0x10100076 = 0x177C

Addr 0x10100078 = 0x3D6E

Addr 0x1010007A = 0x5C56

Addr 0x1010007C = 0x7137

Addr 0x1010007E = 0x7D11

Addr 0x10100080 = 0x7CE9

Addr 0x10100082 = 0x6EC3

Addr 0x10100084 = 0x56A4

Addr 0x10100086 = 0x378F

Addr 0x10100088 = 0x1183

Addr 0x1010008A = 0xE984

Addr 0x1010008C = 0xC392

Addr 0x1010008E = 0xA4AA

Addr 0x10100090 = 0x8FC9

Addr 0x10100092 = 0x83EF

Addr 0x10100094 = 0x8417

Addr 0x10100096 = 0x923D

Addr 0x10100098 = 0xAA5C

Addr 0x1010009A = 0xC971

Addr 0x1010009C = 0xEF7D

Addr 0x1010009E = 0x177C

Addr 0x101000A0 = 0x3D6E

Addr 0x101000A2 = 0x5C56

Addr 0x101000A4 = 0x7137

Addr 0x101000A6 = 0x7D11

Addr 0x101000A8 = 0x7CE9

Addr 0x101000AA = 0x6EC3

Addr 0x101000AC = 0x56A4

Addr 0x101000AE = 0x378F

Addr 0x101000B0 = 0x1183

Addr 0x101000B2 = 0xE984

Addr 0x101000B4 = 0xC392

Addr 0x101000B6 = 0xA4AA

Addr 0x101000B8 = 0x8FC9

Addr 0x101000BA = 0x83EF

Addr 0x101000BC = 0x8417

Addr 0x101000BE = 0x923D

Addr 0x101000C0 = 0xAA5C

Addr 0x101000C2 = 0xC971

Addr 0x101000C4 = 0xEF7D

Addr 0x101000C6 = 0x177C

Addr 0x101000C8 = 0x3D6E

Addr 0x101000CA = 0x5C56

Addr 0x101000CC = 0x7137

Addr 0x101000CE = 0x7D11

Addr 0x101000D0 = 0x7CE9

Addr 0x101000D2 = 0x6EC3

Addr 0x101000D4 = 0x56A4

Addr 0x101000D6 = 0x378F

Addr 0x101000D8 = 0x1183

Addr 0x101000DA = 0xE984

Addr 0x101000DC = 0xC392

Addr 0x101000DE = 0xA4AA

Addr 0x101000E0 = 0x8FC9

Addr 0x101000E2 = 0x83EF

Addr 0x101000E4 = 0x8417

Addr 0x101000E6 = 0x923D

Addr 0x101000E8 = 0xAA5C

Addr 0x101000EA = 0xC971

Addr 0x101000EC = 0xEF7D

Addr 0x101000EE = 0x177C

Addr 0x101000F0 = 0x3D6E

Addr 0x101000F2 = 0x5C56

Addr 0x101000F4 = 0x7137

Addr 0x101000F6 = 0x7D11

Addr 0x101000F8 = 0x7CE9

Addr 0x101000FA = 0x6EC3

Addr 0x101000FC = 0x56A4

Addr 0x101000FE = 0x378F

Addr 0x10100100 = 0x1183

Addr 0x10100102 = 0xE984

Addr 0x10100104 = 0xC392

Addr 0x10100106 = 0xA4AA

Addr 0x10100108 = 0x8FC9

Addr 0x1010010A = 0x83EF

Addr 0x1010010C = 0x8417

Addr 0x1010010E = 0x923D

Addr 0x10100110 = 0xAA5C

Addr 0x10100112 = 0xC971

Addr 0x10100114 = 0xEF7D

Addr 0x10100116 = 0x177C

Addr 0x10100118 = 0x3D6E

Addr 0x1010011A = 0x5C56

Addr 0x1010011C = 0x7137

Addr 0x1010011E = 0x7D11

Addr 0x10100120 = 0x7CE9

Addr 0x10100122 = 0x6EC3

Addr 0x10100124 = 0x56A4

Addr 0x10100126 = 0x378F

Addr 0x10100128 = 0x1183

Addr 0x1010012A = 0xE984

Addr 0x1010012C = 0xC392

Addr 0x1010012E = 0xA4AA

Addr 0x10100130 = 0x8FC9

Addr 0x10100132 = 0x83EF

Addr 0x10100134 = 0x8417

Addr 0x10100136 = 0x923D

Addr 0x10100138 = 0xAA5C

Addr 0x1010013A = 0xC971

Addr 0x1010013C = 0xEF7D

Addr 0x1010013E = 0x177C

Addr 0x10100140 = 0x3D6E

Addr 0x10100142 = 0x5C56

Addr 0x10100144 = 0x7137

Addr 0x10100146 = 0x7D11

Addr 0x10100148 = 0x7CE9

Addr 0x1010014A = 0x6EC3

Addr 0x1010014C = 0x56A4

Addr 0x1010014E = 0x378F

Addr 0x10100150 = 0x1183

Addr 0x10100152 = 0xE984

Addr 0x10100154 = 0xC392

Addr 0x10100156 = 0xA4AA

Addr 0x10100158 = 0x8FC9

Addr 0x1010015A = 0x83EF

Addr 0x1010015C = 0x8417

Addr 0x1010015E = 0x923D

Addr 0x10100160 = 0xAA5C

Addr 0x10100162 = 0xC971

Addr 0x10100164 = 0xEF7D

Addr 0x10100166 = 0x177C

Addr 0x10100168 = 0x3D6E

Addr 0x1010016A = 0x5C56

Addr 0x1010016C = 0x7137

Addr 0x1010016E = 0x7D11

Addr 0x10100170 = 0x7CE9

Addr 0x10100172 = 0x6EC3

Addr 0x10100174 = 0x56A4

Addr 0x10100176 = 0x378F

Addr 0x10100178 = 0x1183

Addr 0x1010017A = 0xE984

Addr 0x1010017C = 0xC392

Addr 0x1010017E = 0xA4AA

Addr 0x10100180 = 0x8FC9

Addr 0x10100182 = 0x83EF

Addr 0x10100184 = 0x8417

Addr 0x10100186 = 0x923D

Addr 0x10100188 = 0xAA5C

Addr 0x1010018A = 0xC971

Addr 0x1010018C = 0xEF7D

Addr 0x1010018E = 0x177C

Addr 0x10100190 = 0x3D6E

Addr 0x10100192 = 0x5C56

Addr 0x10100194 = 0x7137

Addr 0x10100196 = 0x7D11

Addr 0x10100198 = 0x7CE9

Addr 0x1010019A = 0x6EC3

Addr 0x1010019C = 0x56A4

Addr 0x1010019E = 0x378F

Addr 0x101001A0 = 0x1183

Addr 0x101001A2 = 0xE984

Addr 0x101001A4 = 0xC392

Addr 0x101001A6 = 0xA4AA

Addr 0x101001A8 = 0x8FC9

Addr 0x101001AA = 0x83EF

Addr 0x101001AC = 0x8417

